TrialNames,Indiv,Trial,Speed,Amps,Angs,Freq,Position,Condition,Species,DaysPostAmp,SL,AmpsMax,NumPeaksOld,NumPeaks
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.011394301,1.405885134,3.529411765,30,Regen,Bspot,76,0.080319977,0.050707079,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.009319985,0.859184166,3.025210084,35,Regen,Bspot,76,0.080319977,0.062907381,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.005877147,0.862272179,3.529411765,40,Regen,Bspot,76,0.080319977,0.05770955,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.004612287,1.122629124,4.537815126,45,Regen,Bspot,76,0.080319977,0.048621531,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.010020026,0.826157359,5.042016807,50,Regen,Bspot,76,0.080319977,0.029736398,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.008028459,0.506275798,4.033613445,55,Regen,Bspot,76,0.080319977,0.020570872,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.006301535,0.75110363,4.537815126,60,Regen,Bspot,76,0.080319977,0.022019545,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.01026061,0.562938413,4.033613445,65,Regen,Bspot,76,0.080319977,0.023724721,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.01431187,0.752775049,3.529411765,70,Regen,Bspot,76,0.080319977,0.024404701,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.017513726,0.889583405,3.025210084,75,Regen,Bspot,76,0.080319977,0.024659159,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.020720766,1.186255769,3.025210084,80,Regen,Bspot,76,0.080319977,0.024598306,1.773109244,1.806722689
