TrialNames,Indiv,Trial,Slope,Int,Position,Condition,Species
Bspot2018_010_GoPro_T74_1063-337_000000,Bspot2018_010,T74_,0.092939815,0.040555556,nose,Regen,Bspot
Bspot2018_010_GoPro_T75_1634-410_000000,Bspot2018_010,T75_,0.338504321,-0.148189005,nose,Regen,Bspot
Bspot2018_010_GoPro_T76_1523-918_000000,Bspot2018_010,T76_,0.134539337,0.305531401,nose,Regen,Bspot
Bspot2018_010_GoPro_T79b_1092-0_000000,Bspot2018_010,T79b,0.09660582,-0.047438272,nose,Regen,Bspot
Bspot2018_010_GoPro_T84_1263-513_000000,Bspot2018_010,T84_,0.170464135,-0.151898734,nose,Regen,Bspot
Bspot2018_010_GoPro_T85_1509-975_000000,Bspot2018_010,T85_,0.180946517,0.215341309,nose,Regen,Bspot
Bspot2018_010_GoPro_T88_2565-1788_000000,Bspot2018_010,T88_,0.112439614,-0.088768116,nose,Regen,Bspot
Bspot2018_010_GoPro_T90f_1250_617,Bspot2018_010,T90f,0.101074561,-0.05122076,nose,Regen,Bspot
Bspot2019_006_GoPro_T83_1625-701_000000,Bspot2019_006,T83_,0.195228758,-0.029452614,nose,Regen,Bspot
Bspot2019_006_GoPro_T84_1627-556_000000,Bspot2019_006,T84_,0.148084604,0.091666667,nose,Regen,Bspot
Bspot2019_009_GoPro_T85_1491-755_000000,Bspot2019_009,T85_,0.176542208,-0.194196429,nose,Regen,Bspot
Bspot2019_009_GoPro_T86_1411-375_000000,Bspot2019_009,T86_,0.208270872,0.051877551,nose,Regen,Bspot
Bspot2019_009_GoPro_T87_1700-568_000000,Bspot2019_009,T87_,0.289953184,0.150842697,nose,Regen,Bspot
Bspot2019_009_GoPro_T88_2286-633_000000,Bspot2019_009,T88_,0.213146853,-0.028531469,nose,Regen,Bspot
Bspot2018_006_GoPro_T19_1461-213_000000,Bspot2018_006,T19_,0.064859307,0.014303752,pect,Regen,Bspot
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.173361582,-0.110932203,pect,Regen,Bspot
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.081638357,0.087964576,pect,Regen,Bspot
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.242617284,-0.109975309,pect,Regen,Bspot
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.24178863,-0.132432666,pect,Regen,Bspot
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.300658886,-0.217252252,pect,Regen,Bspot
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.17540107,-0.147385621,pect,Regen,Bspot
Bspot2018_006_GoPro_T56_1084-387,Bspot2018_006,T56_,0.226719925,-0.125263158,pect,Regen,Bspot
Bspot2018_006_GoPro_T57_1752-751_1,Bspot2018_006,T57_,0.152127921,0.055621156,pect,Regen,Bspot
Bspot2018_006_GoPro_T59_3303-251,Bspot2018_006,T59_,0.378312667,-0.684426667,pect,Regen,Bspot
Bspot2018_006_GoPro_T63_1572-368,Bspot2018_006,T63_,0.156400966,-0.139492754,pect,Regen,Bspot
Bspot2018_006_GoPro_T64_1724-788,Bspot2018_006,T64_,0.114405293,0.016815476,pect,Regen,Bspot
Bspot2018_006_GoPro_T74_1388-902_000000,Bspot2018_006,T74_,0.094908163,-0.102555556,pect,Regen,Bspot
Bspot2018_006_GoPro_T75_1395-615_000000,Bspot2018_006,T75_,0.139010989,0.275213675,pect,Regen,Bspot
Bspot2018_006_GoPro_T76_1904-473_000000,Bspot2018_006,T76_,0.245299712,0.095610119,pect,Regen,Bspot
Bspot2018_006_GoPro_T77_2382-908_000000,Bspot2018_006,T77_,0.14795434,0.011980108,pect,Regen,Bspot
Bspot2018_006_GoPro_T80_4421-3847_000000,Bspot2018_006,T80_,0.211484961,0.658284911,pect,Regen,Bspot
Bspot2018_006_GoPro_T85a_3770-2520,Bspot2018_006,T85a,0.412419562,-0.233397683,pect,Regen,Bspot
Bspot2018_006_GoPro_T85b_1158-329,Bspot2018_006,T85b,0.148372093,-0.089360465,pect,Regen,Bspot
Bspot2018_006_GoPro_T87_1829-729,Bspot2018_006,T87_,0.171878438,0.158219884,pect,Regen,Bspot
Bspot2018_006_GoPro_T88a_4227-2994,Bspot2018_006,T88a,0.158289885,-0.134306569,pect,Regen,Bspot
Bspot2018_006_GoPro_T88b_2132-901,Bspot2018_006,T88b,0.129351741,-0.054021609,pect,Regen,Bspot
Bspot2018_009_GoPro_T19_1500-394_000000,Bspot2018_009,T19_,0.068,0.102,pect,Regen,Bspot
Bspot2018_009_GoPro_T21_1026-0_000000,Bspot2018_009,T21_,0.194123932,0.036574074,pect,Regen,Bspot
Bspot2018_009_GoPro_T53_1410-352,Bspot2018_009,T53_,0.207970696,0.310441026,pect,Regen,Bspot
Bspot2018_009_GoPro_T54_2078-959,Bspot2018_009,T54_,0.154837953,0.057891935,pect,Regen,Bspot
Bspot2018_009_GoPro_T56_2412-1119,Bspot2018_009,T56_,0.250596896,0.935336251,pect,Regen,Bspot
Bspot2018_009_GoPro_T62_2415-618,Bspot2018_009,T62_,0.2971617,-0.260937032,pect,Regen,Bspot
Bspot2018_009_GoPro_T63_1869-535,Bspot2018_009,T63_,0.167313677,-0.099981982,pect,Regen,Bspot
Bspot2018_009_GoPro_T64_1404-772,Bspot2018_009,T64_,0.304901421,-0.316415895,pect,Regen,Bspot
Bspot2018_009_GoPro_T65_1300-618,Bspot2018_009,T65_,0.112565104,-0.008463542,pect,Regen,Bspot
Bspot2018_009_GoPro_T75_1763-1115_000000,Bspot2018_009,T75_,0.199110633,0.051447715,pect,Regen,Bspot
Bspot2018_009_GoPro_T76_1941-816_000000,Bspot2018_009,T76_,0.226307642,-0.012317011,pect,Regen,Bspot
Bspot2018_009_GoPro_T77_1441-523_000000,Bspot2018_009,T77_,0.156195175,0.002814327,pect,Regen,Bspot
Bspot2018_009_GoPro_T78_1316-1016_000000,Bspot2018_009,T78_,0.074237351,0.018055556,pect,Regen,Bspot
Bspot2018_009_GoPro_T79-1691-520_000000,Bspot2018_009,T79-,0.147542598,-0.172015934,pect,Regen,Bspot
Bspot2018_009_GoPro_T80b_1441-533_000000,Bspot2018_009,T80b,0.105913134,-0.025274725,pect,Regen,Bspot
Bspot2018_009_GoPro_T81_1480-171_000000,Bspot2018_009,T81_,0.169798137,-0.1875,pect,Regen,Bspot
Bspot2018_009_GoPro_T83_1290-184_000000,Bspot2018_009,T83_,0.109679487,-0.047859291,pect,Regen,Bspot
Bspot2018_009_GoPro_T90a-4987-4171,Bspot2018_009,T90a,0.0675,0.4246875,pect,Regen,Bspot
Bspot2018_009_GoPro_T91b_3974-3566,Bspot2018_009,T91b,0.115821256,-0.100603865,pect,Regen,Bspot
Bspot2018_009_GoPro_T91d_1684-559,Bspot2018_009,T91d,0.163129144,-0.002396022,pect,Regen,Bspot
