TrialNamesP,IndivP,TrialP,phasePect,phasePelv,phaseTail,Condition,Species,noseSlope,noseInt,pectSlope,pectInt,pelvSlope,pelvInt,tailSlope,tailInt
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,-0.548391017,-0.750180876,-0.662499388,Regen,Bspot,0.334123864,0.415958351,0.24178863,-0.132432666,0.264561223,-0.334222525,0.364841465,-0.246541037
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,-0.096689189,-0.156787076,-0.187318087,Regen,Bspot,0.413018018,-0.120563063,0.300658886,-0.217252252,0.233550762,-0.277350139,0.208712751,-0.30788115
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.07871732,-0.069386088,0.117238562,Regen,Bspot,0.257506127,-0.226102941,0.17540107,-0.147385621,0.264085843,-0.295489029,0.163017429,-0.108864379
Bspot2018_006_GoPro_T56_1084-387,Bspot2018_006,T56_,0.000559211,0.136726974,0.147631579,Regen,Bspot,0.22168703,-0.125822368,0.226719925,-0.125263158,0.217253289,0.010904605,0.210662594,0.021809211
Bspot2018_006_GoPro_T57_1752-751_1,Bspot2018_006,T57_,0.133471473,0.010937648,0.105491622,Regen,Bspot,0.169855237,-0.077850317,0.152127921,0.055621156,0.229733497,-0.066912669,0.100607978,0.027641305
Bspot2018_006_GoPro_T59_3303-251,Bspot2018_006,T59_,-1.078111111,-0.830737924,-0.424435322,Regen,Bspot,0.41316,0.393684444,0.378312667,-0.684426667,0.36193348,-0.43705348,0.261206737,-0.030750877
Bspot2018_006_GoPro_T63_1572-368,Bspot2018_006,T63_,-0.016908213,0.054951691,0.091022544,Regen,Bspot,0.142028986,-0.122584541,0.156400966,-0.139492754,0.13442029,-0.06763285,0.089130435,-0.031561997
Bspot2018_006_GoPro_T64_1724-788,Bspot2018_006,T64_,0.053449192,0.031529018,-0.224006165,Regen,Bspot,0.103194976,-0.036633716,0.114405293,0.016815476,0.104596266,-0.005104698,0.279977679,-0.260639881
Bspot2018_006_GoPro_T74_1388-902_000000,Bspot2018_006,T74_,-0.064519841,0.106781746,0.071,Regen,Bspot,0.125940476,-0.038035714,0.094908163,-0.102555556,0.085006803,0.068746032,0.103964286,0.032964286
Bspot2018_006_GoPro_T75_1395-615_000000,Bspot2018_006,T75_,0.246568987,-0.087619048,-0.053919414,Regen,Bspot,0.12974359,0.028644689,0.139010989,0.275213675,0.193772894,-0.058974359,0.155018315,-0.025274725
Bspot2018_006_GoPro_T76_1904-473_000000,Bspot2018_006,T76_,0.164329892,-0.13495736,-0.220739862,Regen,Bspot,0.263923766,-0.068719773,0.245299712,0.095610119,0.170949054,-0.203677133,0.242154356,-0.289459635
Bspot2018_006_GoPro_T77_2382-908_000000,Bspot2018_006,T77_,0.123235383,0.102869198,0.215801688,Regen,Bspot,0.20869349,-0.111255274,0.14795434,0.011980108,0.271708861,-0.008386076,0.204141049,0.104546414
Bspot2018_006_GoPro_T80_4421-3847_000000,Bspot2018_006,T80_,-1.08011272,-1.480062606,-1.738397631,Regen,Bspot,0.2708503,1.738397631,0.211484961,0.658284911,0.1889424,0.258335025,4.529309524,0
Bspot2018_006_GoPro_T85a_3770-2520,Bspot2018_006,T85a,-0.000956058,0.338803089,-0.08331829,Regen,Bspot,0.296577189,-0.232441625,0.412419562,-0.233397683,0.273074095,0.106361464,0.214993565,-0.315759916
Bspot2018_006_GoPro_T85b_1158-329,Bspot2018_006,T85b,0.127015504,0.360251938,0.008430233,Regen,Bspot,0.282412791,-0.216375969,0.148372093,-0.089360465,0.058756166,0.143875969,0.307703488,-0.207945736
Bspot2018_006_GoPro_T87_1829-729,Bspot2018_006,T87_,0.309520765,0.213877659,0.220092134,Regen,Bspot,0.161807181,-0.15130088,0.171878438,0.158219884,0.183822195,0.062576779,0.138479785,0.068791254
Bspot2018_006_GoPro_T88a_4227-2994,Bspot2018_006,T88a,-0.175717762,-0.047007299,-0.077386166,Regen,Bspot,0.158050052,0.041411192,0.158289885,-0.134306569,0.177476538,-0.005596107,0.141601495,-0.035974974
Bspot2018_006_GoPro_T88b_2132-901,Bspot2018_006,T88b,-0.003601441,0.101140456,0.18547419,Regen,Bspot,0.144357743,-0.050420168,0.129351741,-0.054021609,0.118747499,0.050720288,0.093237295,0.135054022
Bspot2018_009_GoPro_T19_1500-394_000000,Bspot2018_009,T19_,-0.0085,-0.012466667,-0.053833333,Regen,Bspot,0.06545,0.1105,0.068,0.102,0.052942857,0.098033333,0.0935,0.056666667
Bspot2018_009_GoPro_T21_1026-0_000000,Bspot2018_009,T21_,0.045858262,0.011695665,0.000844017,Regen,Bspot,0.117318376,-0.009284188,0.194123932,0.036574074,0.089526099,0.002411477,0.085908883,-0.008440171
Bspot2018_009_GoPro_T53_1410-352,Bspot2018_009,T53_,-0.277486247,-0.812271209,-0.231423569,Regen,Bspot,0.20777871,0.587927273,0.207970696,0.310441026,0.149925742,-0.224343936,0.291583569,0.356503704
Bspot2018_009_GoPro_T54_2078-959,Bspot2018_009,T54_,-0.308417497,-0.198767415,-0.056311904,Regen,Bspot,0.222573049,0.366309432,0.154837953,0.057891935,0.26450335,0.167542017,0.231452875,0.309997528
Bspot2018_009_GoPro_T56_2412-1119,Bspot2018_009,T56_,-0.203243136,-0.409888579,-1.336350975,Regen,Bspot,0.23189415,1.138579387,0.250596896,0.935336251,0.376760844,0.728690808,0.345961003,-0.197771588
Bspot2018_009_GoPro_T62_2415-618,Bspot2018_009,T62_,-0.362876963,-0.604069561,0.108242758,Regen,Bspot,0.241729997,0.101939931,0.2971617,-0.260937032,0.2724703,-0.50212963,0.336172881,0.210182689
Bspot2018_009_GoPro_T63_1869-535,Bspot2018_009,T63_,-0.399369369,-0.362690691,-0.435835264,Regen,Bspot,0.212092664,0.299387387,0.167313677,-0.099981982,0.180972973,-0.063303303,0.2325,-0.136447876
Bspot2018_009_GoPro_T64_1404-772,Bspot2018_009,T64_,0.102940461,0.296981903,-0.026491853,Regen,Bspot,0.363641158,-0.419356356,0.304901421,-0.316415895,0.396075363,-0.122374453,0.271202492,-0.445848209
Bspot2018_009_GoPro_T65_1300-618,Bspot2018_009,T65_,0.063476563,0.118489583,0.066861979,Regen,Bspot,0.102408854,-0.071940104,0.112565104,-0.008463542,0.088867188,0.046549479,0.093098958,-0.005078125
Bspot2018_009_GoPro_T75_1763-1115_000000,Bspot2018_009,T75_,-0.195341788,-0.416606844,0.181542634,Regen,Bspot,0.227805695,0.246789503,0.199110633,0.051447715,0.111749222,-0.169817341,0.144771476,0.428332137
Bspot2018_009_GoPro_T76_1941-816_000000,Bspot2018_009,T76_,-0.048013102,-0.001035824,0.12625102,Regen,Bspot,0.190193237,0.035696091,0.226307642,-0.012317011,0.302380952,0.034660267,0.223598563,0.161947111
Bspot2018_009_GoPro_T77_1441-523_000000,Bspot2018_009,T77_,-0.014071637,-0.126644737,-0.101315789,Regen,Bspot,0.156195175,0.016885965,0.156195175,0.002814327,0.198410088,-0.109758772,0.140997807,-0.084429825
Bspot2018_009_GoPro_T78_1316-1016_000000,Bspot2018_009,T78_,0.018619792,-0.075607639,0.073411148,Regen,Bspot,0.074720982,-0.000564236,0.074237351,0.018055556,0.07859003,-0.076171875,0.0414109,0.072846912
Bspot2018_009_GoPro_T79-1691-520_000000,Bspot2018_009,T79-,0.023341395,0.249470489,0.061398018,Regen,Bspot,0.155778442,-0.195357329,0.147542598,-0.172015934,0.096262734,0.054113159,0.340758998,-0.133959311
Bspot2018_009_GoPro_T80b_1441-533_000000,Bspot2018_009,T80b,0.08003663,0.072173382,0.116263736,Regen,Bspot,0.167655678,-0.105311355,0.105913134,-0.025274725,0.11096808,-0.033137973,0.1103663,0.010952381
Bspot2018_009_GoPro_T81_1480-171_000000,Bspot2018_009,T81_,-0.097060781,-0.054436557,0.065842946,Regen,Bspot,0.147737356,-0.090439219,0.169798137,-0.1875,0.145621118,-0.144875776,0.136041784,-0.024596273
Bspot2018_009_GoPro_T83_1290-184_000000,Bspot2018_009,T83_,-0.065228712,-0.108138651,-0.107418261,Regen,Bspot,0.135913716,0.017369421,0.109679487,-0.047859291,0.141196581,-0.090769231,0.123366911,-0.09004884
Bspot2018_009_GoPro_T90a-4987-4171,Bspot2018_009,T90a,-0.09,-0.47503125,-0.6159375,Regen,Bspot,0.0253125,0.5146875,0.0675,0.4246875,0.12571875,0.03965625,0.3459375,-0.10125
Bspot2018_009_GoPro_T91b_3974-3566,Bspot2018_009,T91b,-0.019444444,0.05410628,0.16147343,Regen,Bspot,0.089613527,-0.08115942,0.115821256,-0.100603865,0.114975845,-0.02705314,0.106521739,0.08031401
Bspot2018_009_GoPro_T91d_1684-559,Bspot2018_009,T91d,0.079068716,0.245272755,-0.02755425,Regen,Bspot,0.197971293,-0.081464738,0.163129144,-0.002396022,0.113389912,0.163808017,0.209352396,-0.109018987
Bspot2018_010_GoPro_T14_1625-773_000000,Bspot2018_010,T14_,-0.019279628,-0.119355847,0.12586773,Regen,Bspot,0.098711806,-0.018703096,0.118492026,-0.037982724,0.153607724,-0.138058943,0.113871951,0.107164634
Bspot2018_010_GoPro_T15_2615-1015_000000,Bspot2018_010,T15_,0.048026161,0.073301326,0.044109347,Regen,Bspot,0.111358025,-0.082674897,0.078938859,-0.034648736,0.06861454,-0.009373571,0.093099647,-0.03856555
Bspot2018_010_GoPro_T17_1619-136_000000,Bspot2018_010,T17_,-0.07512987,-0.119371556,-0.115163014,Regen,Bspot,0.099450758,0.11967803,0.091203328,0.04454816,0.067500861,0.000306474,0.084681638,0.004515016
Bspot2018_010_GoPro_T22_1524-532_000000,Bspot2018_010,T22_,0.002237237,0.056163976,-0.071057705,Regen,Bspot,0.110743243,-0.058727477,0.134285081,-0.05649024,0.120391329,-0.002563501,0.104401145,-0.129785183
Bspot2018_010_GoPro_T59_1541-224,Bspot2018_010,T59_,0.340151267,-0.148380577,-0.027710081,Regen,Bspot,0.130823905,-0.183611064,0.130648923,0.156540202,0.221597332,-0.331991642,0.291205183,-0.211321145
Bspot2018_010_GoPro_T60_1672-480,Bspot2018_010,T60_,0.195388982,-0.081604709,0.017287857,Regen,Bspot,0.176631254,-0.128911744,0.166622193,0.066477238,0.285913278,-0.210516453,0.200194189,-0.111623887
Bspot2018_010_GoPro_T64_1033-361,Bspot2018_010,T64_,0.102492712,0.141651611,0.00191358,Regen,Bspot,0.109074074,-0.073042758,0.068482683,0.029449954,0.106133695,0.068608853,0.103969779,-0.071129178
Bspot2018_010_GoPro_T66_1020-355,Bspot2018_010,T66_,0.069739369,0.069458162,-0.010685871,Regen,Bspot,0.108706643,-0.016310014,0.078336273,0.053429355,0.103765432,0.053148148,0.119794239,-0.026995885
Bspot2018_010_GoPro_T71_763-370,Bspot2018_010,T71_,-0.099076973,0.025664275,0.015688193,Regen,Bspot,0.083871494,0.003620352,0.117420091,-0.095456621,0.089784736,0.029284627,0.084474886,0.019308545
Bspot2018_010_GoPro_T74_1063-337_000000,Bspot2018_010,T74_,-0.103923611,-0.142789352,-0.010983796,Regen,Bspot,0.092939815,0.040555556,0.152928241,-0.063368056,0.105613426,-0.102233796,0.130115741,0.029571759
Bspot2018_010_GoPro_T75_1634-410_000000,Bspot2018_010,T75_,-0.17750812,0.529656187,-0.141815285,Regen,Bspot,0.338504321,-0.148189005,0.405368634,-0.325697126,0.333186247,0.381467181,0.694337194,-0.29000429
Bspot2018_010_GoPro_T76_1523-918_000000,Bspot2018_010,T76_,-0.310327812,-0.130942029,-0.010072464,Regen,Bspot,0.134539337,0.305531401,0.163377761,-0.004796411,0.146770186,0.174589372,0.143412698,0.295458937
Bspot2018_010_GoPro_T79b_1092-0_000000,Bspot2018_010,T79b,-0.018661502,-0.042858025,0.16701877,Regen,Bspot,0.09660582,-0.047438272,0.085028345,-0.066099773,0.149986395,-0.090296296,0.077416856,0.119580499
Bspot2018_010_GoPro_T84_1263-513_000000,Bspot2018_010,T84_,-0.024472574,0.04822182,0.080168776,Regen,Bspot,0.170464135,-0.151898734,0.139240506,-0.176371308,0.098854732,-0.103676914,0.166244726,-0.071729958
Bspot2018_010_GoPro_T85_1509-975_000000,Bspot2018_010,T85_,0.250367503,0.297888811,0.293103448,Regen,Bspot,0.180946517,0.215341309,0.120311987,0.465708812,0.158216045,0.51323012,0.144757213,0.508444757
Bspot2018_010_GoPro_T88_2565-1788_000000,Bspot2018_010,T88_,0.029589372,0.068478261,0.1352657,Regen,Bspot,0.112439614,-0.088768116,0.138647343,-0.059178744,0.113285024,-0.020289855,0.114130435,0.046497585
Bspot2018_010_GoPro_T90f_1250_617,Bspot2018_010,T90f,0.029510234,-0.031520468,0.072328216,Regen,Bspot,0.101074561,-0.05122076,0.089254386,-0.021710526,0.109276316,-0.082741228,0.130866228,0.021107456
Bspot2019_006_GoPro_T83_1625-701_000000,Bspot2019_006,T83_,-0.04628268,0.054697712,-0.074332789,Regen,Bspot,0.195228758,-0.029452614,0.150268441,-0.075735294,0.141372549,0.025245098,0.147864146,-0.103785403
